"Speedy Chow" 74
"Ganesh Machhiwala" 74
Beeryani 73
"Viva O' Viva" 73
"Baba Nagpal Corner" 73
Mellt 73
"Sucre Patisserie" 73
"La Piazza - Hyatt Regency" 73
Chopsticks 72
"Punjab Grill" 72
"Dum Pakwan" 72
"Om Sweets & Snacks" 72
"Moonshine Cafe & Bar" 71
"Cafe 6" 71
"The Barrel House - By Cafe 27" 71
"Cafe Lota" 71
"Mughlai Express" 70
Changezi 70
"Threesixty Degrees - The Oberoi" 70
"Khan Chacha" 70
"Lotus Pond" 69
"Sagar Ratna" 69
Haldiram's 68
Kaffeine 68
"Kolkata Biryani House" 68
"Cafe Coffee Day" 68
"Smokey's BBQ and Grill" 68
"Thai High" 68
"Pan Asian - Sheraton New Delhi Hotel" 67
"My Kind Of Street Cafe" 67
"The Backyard" 67
"English Tadka" 67
"House of Ming - The Taj Mahal Hotel" 66
"Anand Restaurant" 66
"Bhape - Da - Hotel" 66
Zook 65
Keya 65
"Slice of Italy" 65
Booze 65
"Varq - The Taj Mahal Hotel" 65
"Ploof - Gourmet Kitchen & Deli" 65
Barka 64
"Joy Luck Moon" 64
"Hi Mircheee" 64
"The Hungry Monkey" 64
"Torgauer Brewpub" 63
"Gung The Palace" 63
"MR.D - Deliciousness Delivered" 63
"Qawali Restro & Bar" 63
"Summer House Cafe" 62
Daitchi 62
Stone 62
"S Bar & Restaurant - Shalom" 62
"The Kitchen" 61
"Le Bistro Du Parc" 61
Shack 61
Majeed's 61
"Rang De Basanti Dhaba" 60
"Side Wok" 60
"Qafe Pasha" 60
Amici 60
"Thirty Nine" 60
"Bengali Sweet House" 60
"Kebab Xpress" 60
KFC 60
Khidmat 59
Matchbox 59
"Saleem's Restaurant" 59
"The Golden Dragon" 59
"Dunkin' Donuts" 59
Sighri 59
"Pure Punjab by Lazeez Affaire" 59
"Sanjha Chulha" 59
KFC 59
"Sam's Cafe" 59
"China Bowl" 58
"Chickens of Ludhiana" 58
"Golden Dragon" 58
"Dakshin - Sheraton New Delhi Hotel" 58
"Grills & Platters Pind Balluchi" 58
"Pizza Square" 57
"Sakae Sushi" 57
"Cafe Brown Sugar" 57
"Flaming Chilli Pepper" 57
"Aap Ki Khatir" 57
"Cocoa By Belgique" 57
"On the Waterfront - The Lodhi" 57
"24/7 Restaurant - The Lalit New Delhi" 57
"Nathu's Sweets" 57
"Taste of China" 57
"Maa Tara" 56
"Flaming Wok" 56
Cinnabon 56
"34, Chowringhee Lane" 56
Shroom 56
"Cafe 88" 56
"Nom Nom - The Ashok" 55
"Mini Mughal" 55
Khopcha 55
"Elma's Brasserie" 55
"Shraman - The Ashok" 55
"Soi Thai" 55
"TLR Cafe" 55
"Drool Fresh Bake House Cafe" 55
"Bengali Sweet Centre" 54
"Dunkin' Donuts" 54
Benihana 54
"Rosang Soul Food" 54
KFC 53
"Kafe Fontana - Taj Palace Hotel" 53
"Rampur Kitchen" 53
"Novelty Dairy & Stores" 53
"Ego Obsession" 53
"Buddha Xpress" 53
"Sethi's Restaurant & Barbeque" 53
"Yo! China Cafe" 53
"De Paul's" 53
"Mai Thai" 53
"Club Pangaea - The Ashok" 52
Buzz 52
"Masala Art - Taj Palace Hotel" 52
"Smoothie Factory" 52
"The Coffee Bean & Tea Leaf" 52
"24 Carat Lounge" 52
"Shubham Valley" 52
"Delhicious Kitchen" 52
"Haze The Lounge n Grill" 52
"Privilege Punjab" 52
"Lean Chef" 51
"Fusion Lounge" 51
"Flip Bistro" 51
"Shree Maakhan" 51
Naivedyam 51
"Baluchi - The Lalit New Delhi" 51
"Khana Khazana" 50
"Kuzart Lane" 50
"28 Capri Italy" 50
"Aqua The Lounge Bar" 50
"The Great Kabab Factory - Radisson Blu..." 50
"Chicken Inn" 50
"The Host" 50
"Grills & Platters Pind Balluchi" 50
Harry's 49
"Arabian Nites" 49
"Knight - Castle 9" 49
"Amour Bistro" 48
"Rajdhani Thali Restaurant" 48
Zebaa 48
"Drums of Heaven" 48
"Secular House Canteen" 48
"Mughal Mahal" 48
"Om Sweets & Snacks" 48
Harry's 47
"Delhi Heights" 47
"Jughead's Fast Food Corner" 47
"The Original 5 Burgers" 47
"Choko La" 47
"Bikanervala Bliss" 47
"Nazeer Foods" 46
"Delivery Jack" 46
"Open Oven" 46
"Purani Dilli's Al Karam Kebab House" 46
"T.K'S Oriental Grill - Hyatt Regency" 46
"Tryst MusiCafe" 46
Rainbows 46
"Roost Bistro" 45
"Ego Thai" 45
"Amar Jyoti" 45
Alkauser 45
 45
"3 Ant's" 45
"The Munchbox" 45
Karnataka 45
"Angrezee Dhaba" 45
PCO 44
"Pita Pit" 44
Zaffran 44
"Sura Vie" 44
"Baljeet's Amritsari Koolcha" 44
"Sagar Ratna" 44
Amalfi 44
"Nizam's Kathi Kabab" 44
 44
"Le Cirque - The Leela Palace" 44
"Al Zaitoon" 44
"Jamavar - The Leela Palace" 43
"The Blue Bar - Taj Palace Hotel" 43
"Terminus 1" 43
"Gola Sizzlers" 43
"Qureshi's Kabab Corner" 43
"Delhi Darbar" 43
"Mist - The Park" 43
Raasta 43
"Tunday Kababi" 43
Comesum 42
"Al Zaitoon" 42
"Blue Water Grille" 42
"Divya's Rimpy" 42
"Spring - Radisson Blu" 42
"Kerala Express" 41
Starbucks 41
"K3 - JW Marriott Hotel Aerocity" 41
"Beliram Degchiwala" 41
"Sona Sweets Sri Udipi Restaurant" 41
"Life Caffe" 41
"Domino's Pizza" 41
Pema's 41
"China Fare" 40
"West View - ITC Maurya" 40
"Essex Farms" 40
"Rajender Ka Dhaba" 40
"Costa Coffee" 40
"Hooters Cafe - Lounge & Terrace" 40
"Delly Belly" 40
Mexitup 39
KFC 39
"Momos Express" 39
"1911 - The Imperial" 39
"Cocoa By Belgique" 39
"Pioneers Flavours of China" 39
Govardhan 39
"Shao Lin" 38
"Lap - Hotel Samrat" 38
"Nutritious Nation" 38
"The BOOTY Call" 38
"Coast Cafe" 38
"Adyar Ananda Bhavan" 38
"Desiya Cafe" 38
"Supreme Bakery" 38
"Bikanervala Angan" 38
"London Grill" 38
"4S Chinese Restaurant" 38
"Bijoli Grill" 38
Baci 38
"Storm Bar & Grill" 38
1440 38
Jakoi 38
"The Beer Cafe" 38
"RP's Restaurant" 37
"Veda Cafe" 37
"Qureshi's Kabab Corner" 37
"Eggspectation - Jaypee Siddharth" 37
"Blue Ginger - Taj Palace Hotel" 37
"The Beer Cafe" 37
"Gola's BBQ King" 37
Kwality 37
Kamal's 37
"The Night Kitchen" 36
"Ace of Flames" 36
Karim's 36
"Tamil Nadu House Canteen" 36
"High On Burgers" 36
Concept 36
"Deez Biryani & Kebabs" 36
Kunafa 36
"YWCA Kitchen" 36
Maquina 36
"Baywatch - Sheraton New Delhi Hotel" 36
"Lazeez Affaire" 36
Bromfy 35
"In The Punjab" 35
"Cafe Ground Zero" 35
"Curry Leaf" 35
"Rice Bowl" 35
"The Spice Route - The Imperial" 35
"Sarvam Safari" 35
"Latitude 28" 35
"Cosy Restaurant" 35
"Chamanlal & Sons" 35
"Talab  Cafe" 35
"Slice of Italy" 35
"Bora Bora" 34
Omazoni 34
"Mehfil Dhaba" 34
"G Bar - The Grand" 34
"New York Slice" 34
"Neung Roi - Radisson Blu Plaza Delhi" 34
"McDonald's, McDelivery" 34
"Re Cafe & Bar" 34
Zizo 34
"Cafe Uno - Shangri-La's - Eros Hotel" 34
"The Toddy Shop" 34
"Yeti - The Himalayan Kitchen" 34
"Flavours Of Tibet" 34
"Hadippa - Punjabi Khana Shana" 34
"Pizza Hut" 34
"Wasabi by Morimoto - The Taj Mahal Hotel" 34
"Cafe Coffee Day" 34
Hawkers 33
"Harry's Karaoke Lounge Bar" 33
Tamura 33
"Dilkhush Food Plaza" 33
"Wok In The Clouds" 33
Probashi 33
"Agni - The Park" 33
"Hyderabad House" 33
Fidahh 33
"Cafe Turtle" 33
"Revv Cafe" 33
"Eggspectation - Jaypee Vasant Continental" 33
"Hammer Club & Lounge" 33
"Vega Pure Vegetarian" 33
"Crazy Bruno" 32
"Dana Choga's Kitchen" 32
"McDonald's, McDelivery" 32
"Fast Trax" 32
"Dolce Amante" 32
"Cafe - Hyatt Regency" 32
"Essence Restro Bar And Partyhall" 32
"Boheme Cafe Bar" 32
Sattviko 32
Shudh 32
"Capitol - The Ashok" 32
"Hunger Strike" 32
"Prem Chinese Fast Food" 32
"Cafe Rendezvous" 31
"Lebaan Shawarma & More" 31
Raro 31
"NYC - Radisson Blu Plaza Delhi" 31
"Al Nawaz Restaurant" 31
"Idli King" 31
"Punjabi Haveli" 31
"Red Chilli" 31
"Coffee Home" 31
"Flavors Of Chennai" 31
Benares 30
"MEGU - The Leela Palace" 30
"The Kylin Experience" 30
Whipped 30
"Delhi Heights" 30
Karim's 30
"China Garden" 30
"The One - Le Meridien" 30
"Shish Shawarma" 30
"Om Corner Chhole Bhature" 30
"Depot 29" 29
"Urban Knights" 29
"Diva Kitsch" 29
"Dawat Xpress" 29
Madhuban 29
"Indus Grill" 29
Kausstubh 29
"Punjabi By Nature" 29
"Knight Bites" 29
"La Vie" 29
"Chidambaram's New Madras Hotel" 29
Dao 29
"New Kadimi" 29
"Pink Box" 28
"India Grill - Hilton Garden Inn" 28
"Bijoli Grill" 28
"Laxman Fast Food" 28
"Momo King" 28
"Artusi Ristorante e Bar" 28
"Gulati Bakers" 28
"The Mad Teapot/The Wishing Chair" 27
"Papa John's" 27
"Omelettes and Mughlai Heritage" 27
"Crave Busters" 27
"Dana Choga's Kitchen" 27
